"","Province.State","Country.Region","Lat","Long","continent","day","month","year","date","deaths"
"82","","Afghanistan",33,65,NA,12,4,2020,2020-04-12,18
"83","","Afghanistan",33,65,NA,13,4,2020,2020-04-13,21
"84","","Afghanistan",33,65,NA,14,4,2020,2020-04-14,23
"85","","Afghanistan",33,65,NA,15,4,2020,2020-04-15,25
"86","","Albania",41.1533,20.1683,NA,22,1,2020,2020-01-22,0
"87","","Albania",41.1533,20.1683,NA,23,1,2020,2020-01-23,0
"88","","Albania",41.1533,20.1683,NA,24,1,2020,2020-01-24,0
"89","","Albania",41.1533,20.1683,NA,25,1,2020,2020-01-25,0
"90","","Albania",41.1533,20.1683,NA,26,1,2020,2020-01-26,0
"91","","Albania",41.1533,20.1683,NA,27,1,2020,2020-01-27,0
"92","","Albania",41.1533,20.1683,NA,28,1,2020,2020-01-28,0
"93","","Albania",41.1533,20.1683,NA,29,1,2020,2020-01-29,0
"94","","Albania",41.1533,20.1683,NA,30,1,2020,2020-01-30,0
"95","","Albania",41.1533,20.1683,NA,31,1,2020,2020-01-31,0
"96","","Albania",41.1533,20.1683,NA,1,2,2020,2020-02-01,0
"97","","Albania",41.1533,20.1683,NA,2,2,2020,2020-02-02,0
"98","","Albania",41.1533,20.1683,NA,3,2,2020,2020-02-03,0
"99","","Albania",41.1533,20.1683,NA,4,2,2020,2020-02-04,0
"100","","Albania",41.1533,20.1683,NA,5,2,2020,2020-02-05,0
"101","","Albania",41.1533,20.1683,NA,6,2,2020,2020-02-06,0
"102","","Albania",41.1533,20.1683,NA,7,2,2020,2020-02-07,0
"103","","Albania",41.1533,20.1683,NA,8,2,2020,2020-02-08,0
"104","","Albania",41.1533,20.1683,NA,9,2,2020,2020-02-09,0
"105","","Albania",41.1533,20.1683,NA,10,2,2020,2020-02-10,0
"106","","Albania",41.1533,20.1683,NA,11,2,2020,2020-02-11,0
"107","","Albania",41.1533,20.1683,NA,12,2,2020,2020-02-12,0
"108","","Albania",41.1533,20.1683,NA,13,2,2020,2020-02-13,0
"109","","Albania",41.1533,20.1683,NA,14,2,2020,2020-02-14,0
"110","","Albania",41.1533,20.1683,NA,15,2,2020,2020-02-15,0
"111","","Albania",41.1533,20.1683,NA,16,2,2020,2020-02-16,0
"112","","Albania",41.1533,20.1683,NA,17,2,2020,2020-02-17,0
"113","","Albania",41.1533,20.1683,NA,18,2,2020,2020-02-18,0
"114","","Albania",41.1533,20.1683,NA,19,2,2020,2020-02-19,0
"115","","Albania",41.1533,20.1683,NA,20,2,2020,2020-02-20,0
"116","","Albania",41.1533,20.1683,NA,21,2,2020,2020-02-21,0
"117","","Albania",41.1533,20.1683,NA,22,2,2020,2020-02-22,0
"118","","Albania",41.1533,20.1683,NA,23,2,2020,2020-02-23,0
"119","","Albania",41.1533,20.1683,NA,24,2,2020,2020-02-24,0
"120","","Albania",41.1533,20.1683,NA,25,2,2020,2020-02-25,0
"121","","Albania",41.1533,20.1683,NA,26,2,2020,2020-02-26,0
"122","","Albania",41.1533,20.1683,NA,27,2,2020,2020-02-27,0
"123","","Albania",41.1533,20.1683,NA,28,2,2020,2020-02-28,0
"124","","Albania",41.1533,20.1683,NA,29,2,2020,2020-02-29,0
"125","","Albania",41.1533,20.1683,NA,1,3,2020,2020-03-01,0
"126","","Albania",41.1533,20.1683,NA,2,3,2020,2020-03-02,0
"127","","Albania",41.1533,20.1683,NA,3,3,2020,2020-03-03,0
"128","","Albania",41.1533,20.1683,NA,4,3,2020,2020-03-04,0
"129","","Albania",41.1533,20.1683,NA,5,3,2020,2020-03-05,0
"130","","Albania",41.1533,20.1683,NA,6,3,2020,2020-03-06,0
"131","","Albania",41.1533,20.1683,NA,7,3,2020,2020-03-07,0
"132","","Albania",41.1533,20.1683,NA,8,3,2020,2020-03-08,0
"133","","Albania",41.1533,20.1683,NA,9,3,2020,2020-03-09,0
"134","","Albania",41.1533,20.1683,NA,10,3,2020,2020-03-10,0
"135","","Albania",41.1533,20.1683,NA,11,3,2020,2020-03-11,1
"136","","Albania",41.1533,20.1683,NA,12,3,2020,2020-03-12,1
"137","","Albania",41.1533,20.1683,NA,13,3,2020,2020-03-13,1
"138","","Albania",41.1533,20.1683,NA,14,3,2020,2020-03-14,1
"139","","Albania",41.1533,20.1683,NA,15,3,2020,2020-03-15,1
"140","","Albania",41.1533,20.1683,NA,16,3,2020,2020-03-16,1
"141","","Albania",41.1533,20.1683,NA,17,3,2020,2020-03-17,1
"142","","Albania",41.1533,20.1683,NA,18,3,2020,2020-03-18,2
"143","","Albania",41.1533,20.1683,NA,19,3,2020,2020-03-19,2
"144","","Albania",41.1533,20.1683,NA,20,3,2020,2020-03-20,2
"145","","Albania",41.1533,20.1683,NA,21,3,2020,2020-03-21,2
"146","","Albania",41.1533,20.1683,NA,22,3,2020,2020-03-22,2
"147","","Albania",41.1533,20.1683,NA,23,3,2020,2020-03-23,4
"148","","Albania",41.1533,20.1683,NA,24,3,2020,2020-03-24,5
"149","","Albania",41.1533,20.1683,NA,25,3,2020,2020-03-25,5
"150","","Albania",41.1533,20.1683,NA,26,3,2020,2020-03-26,6
"151","","Albania",41.1533,20.1683,NA,27,3,2020,2020-03-27,8
"152","","Albania",41.1533,20.1683,NA,28,3,2020,2020-03-28,10
"153","","Albania",41.1533,20.1683,NA,29,3,2020,2020-03-29,10
"154","","Albania",41.1533,20.1683,NA,30,3,2020,2020-03-30,11
"155","","Albania",41.1533,20.1683,NA,31,3,2020,2020-03-31,15
"156","","Albania",41.1533,20.1683,NA,1,4,2020,2020-04-01,15
"157","","Albania",41.1533,20.1683,NA,2,4,2020,2020-04-02,16
"158","","Albania",41.1533,20.1683,NA,3,4,2020,2020-04-03,17
"159","","Albania",41.1533,20.1683,NA,4,4,2020,2020-04-04,20
"160","","Albania",41.1533,20.1683,NA,5,4,2020,2020-04-05,20
"161","","Albania",41.1533,20.1683,NA,6,4,2020,2020-04-06,21
"162","","Albania",41.1533,20.1683,NA,7,4,2020,2020-04-07,22
"163","","Albania",41.1533,20.1683,NA,8,4,2020,2020-04-08,22
"164","","Albania",41.1533,20.1683,NA,9,4,2020,2020-04-09,23
"165","","Albania",41.1533,20.1683,NA,10,4,2020,2020-04-10,23
"166","","Albania",41.1533,20.1683,NA,11,4,2020,2020-04-11,23
"167","","Albania",41.1533,20.1683,NA,12,4,2020,2020-04-12,23
"168","","Albania",41.1533,20.1683,NA,13,4,2020,2020-04-13,23
"169","","Albania",41.1533,20.1683,NA,14,4,2020,2020-04-14,24
"170","","Albania",41.1533,20.1683,NA,15,4,2020,2020-04-15,25
"171","","Algeria",28.0339,1.6596,NA,22,1,2020,2020-01-22,0
"172","","Algeria",28.0339,1.6596,NA,23,1,2020,2020-01-23,0
"173","","Algeria",28.0339,1.6596,NA,24,1,2020,2020-01-24,0
"174","","Algeria",28.0339,1.6596,NA,25,1,2020,2020-01-25,0
"175","","Algeria",28.0339,1.6596,NA,26,1,2020,2020-01-26,0
"176","","Algeria",28.0339,1.6596,NA,27,1,2020,2020-01-27,0
"177","","Algeria",28.0339,1.6596,NA,28,1,2020,2020-01-28,0
"178","","Algeria",28.0339,1.6596,NA,29,1,2020,2020-01-29,0
"179","","Algeria",28.0339,1.6596,NA,30,1,2020,2020-01-30,0
"180","","Algeria",28.0339,1.6596,NA,31,1,2020,2020-01-31,0
"181","","Algeria",28.0339,1.6596,NA,1,2,2020,2020-02-01,0
"182","","Algeria",28.0339,1.6596,NA,2,2,2020,2020-02-02,0
"183","","Algeria",28.0339,1.6596,NA,3,2,2020,2020-02-03,0
"184","","Algeria",28.0339,1.6596,NA,4,2,2020,2020-02-04,0
"185","","Algeria",28.0339,1.6596,NA,5,2,2020,2020-02-05,0
"186","","Algeria",28.0339,1.6596,NA,6,2,2020,2020-02-06,0
"187","","Algeria",28.0339,1.6596,NA,7,2,2020,2020-02-07,0
"188","","Algeria",28.0339,1.6596,NA,8,2,2020,2020-02-08,0
"189","","Algeria",28.0339,1.6596,NA,9,2,2020,2020-02-09,0
"190","","Algeria",28.0339,1.6596,NA,10,2,2020,2020-02-10,0
"191","","Algeria",28.0339,1.6596,NA,11,2,2020,2020-02-11,0
"192","","Algeria",28.0339,1.6596,NA,12,2,2020,2020-02-12,0
"193","","Algeria",28.0339,1.6596,NA,13,2,2020,2020-02-13,0
"194","","Algeria",28.0339,1.6596,NA,14,2,2020,2020-02-14,0
"195","","Algeria",28.0339,1.6596,NA,15,2,2020,2020-02-15,0
"196","","Algeria",28.0339,1.6596,NA,16,2,2020,2020-02-16,0
"197","","Algeria",28.0339,1.6596,NA,17,2,2020,2020-02-17,0
"198","","Algeria",28.0339,1.6596,NA,18,2,2020,2020-02-18,0
"199","","Algeria",28.0339,1.6596,NA,19,2,2020,2020-02-19,0
"200","","Algeria",28.0339,1.6596,NA,20,2,2020,2020-02-20,0
"201","","Algeria",28.0339,1.6596,NA,21,2,2020,2020-02-21,0
"202","","Algeria",28.0339,1.6596,NA,22,2,2020,2020-02-22,0
